:q!:q!
:q!
:q!
BYE,BYE,89,1,1,,,,,,,
KYLE BARNES,MONT,76,1,2,,,,,,,
BYE,BYE,88,1,3,,,,,,,
DAVID JENSEN,SLV,90,1,4,,,,,,,
BYE,BYE,87,1,5,,,,,,,
LUCAS GOODIE,WEST,91.2,1,6,,,,,,,
BYE,BYE,90,1,7,,,,,,,
THOR OLGESBY,SV,88,1,8,,,,,,,
DANIEL SOTO,ASAL,91.6,2,1,,,,,,,
ETHAN CASSAR,HAR,92,2,2,,,,,,,
ISAAC VIBANCO,BRAN,94,2,3,,,,,,,
JASON GRIFFIE,HILL,94.4,2,4,,,,,,,
JOSE ESCALANTE,ASAL,96.6,2,5,,,,,,,
JASON MEYER,CAR,96.7,2,6,,,,,,,
JUAN AGUILERA,PALM,100,2,7,,,,,,,
ANDREW SMITH,PNR,101,2,8,,,,,,,
COLE TWAROSKI,PNR,101,3,1,,,,,,,
JACOB GUTIERREZ,PALM,102,3,2,,,,,,,
DALTON HAN,CAR,102.5,3,3,,,,,,,
DANIEL PINON,WEST,102.5,3,4,,,,,,,
BRENDON BERTRAM,LG,102.6,3,5,,,,,,,
JASON DURANA,LA,103,3,6,,,,,,,
LUIS SOTO,ASAL,103.8,3,7,,,,,,,
EZRA DELBICK,CAR,104,3,8,,,,,,,
ANGELO REYES,FREM,105.6,4,1,,,,,,,
KAMERON WOODS,PALM,105,4,2,,,,,,,
DELILAH HOUCK,NMC,105.1,4,3,,,,,,,
ANDRES AVILES,WEST,105.5,4,4,,,,,,,
CHRISTOPHER OSEGUERA,ASAL,105,4,5,,,,,,,
RYAN LEE,FREM,105.6,4,6,,,,,,,
ALEX ALONZO,SAL,106,4,7,,,,,,,
CHRISTIAN CLARK,PNR,106,4,8,,,,,,,
DAMIAN DIAZ,SOD,106,5,1,,,,,,,
DYLAN SULTANA,PNR,108,5,2,,,,,,,
ANDRES GOLZIO,LA,109,5,3,,,,,,,
JOSEPH TOPE,MONT,108,5,4,,,,,,,
ALEJANDRA RODRIGUEZ,SOD,109,5,5,,,,,,,
ALEX MAROZICK,LEIG,109,5,6,,,,,,,
JOHN IMOBERSTEG,PNR,108,5,7,,,,,,,
ANGEL CAZARES,OG,109.6,5,8,,,,,,,
JERNAL PATIO,WEST,110,6,1,,,,,,,
JOSEPH ESPARZA,PNR,110,6,2,,,,,,,
ZANE SADDY,MONT,110,6,3,,,,,,,
XAVI LOINAZ,GUNN,111,6,4,,,,,,,
LOUIS GUEZIEC,FREM,111.6,6,5,,,,,,,
ALYSSA LEON,GON,112,6,6,,,,,,,
KIM NGUYEN,PNR,112,6,7,,,,,,,
SAMUEL BERKHEIMER,OG,112,6,8,,,,,,,
NICK COFFEY,APTO,112.1,7,1,,,,,,,
ARMANDO SANCHEZ,ASAL,112.2,7,2,,,,,,,
AUSTIN MORGAN,NMC,115,7,3,,,,,,,
NICK VALLODARES,BELL,113,7,4,,,,,,,
CINDY DINH,OG,113.5,7,5,,,,,,,
RICHARD LYON,CAR,113.6,7,6,,,,,,,
ENRIQUE ZAVALA,ASAL,113,7,7,,,,,,,
DONOVAN ORDUNO,SOD,115,7,8,,,,,,,
KALOB POWERS,MONT,115,8,1,,,,,,,
KATLYN MORENO,WEST,115.1,8,2,,,,,,,
DAMIEN BERBER,PALM,116,8,3,,,,,,,
MITCHELL MCGALATH,LG,116.8,8,4,,,,,,,
JOHONY GARCIA,OG,117,8,5,,,,,,,
JONAH THOMASON,PG,117,8,6,,,,,,,
JOSEY BILLAT,SC,117,8,7,,,,,,,
KEVIN PEREZ,SOD,118,8,8,,,,,,,
MARKELL MCNARY,NMC,118,9,1,,,,,,,
WESTLEY SUTTON,CAR,118,9,2,,,,,,,
HOLDEN LUKIN,MVC,118.3,9,3,,,,,,,
DAVEY GEORGE,LG,119.4,9,4,,,,,,,
EDGAR RUBIO,ASAL,119.6,9,5,,,,,,,
JASON DO,OG,119.8,9,6,,,,,,,
BYE,BYE,120,9,7,,,,,,,
JOHNATHON SALDANA,SAL,120,9,8,,,,,,,
KATIE BARRETT,GUNN,120,10,1,,,,,,,
KORY POWERS,MONT,120,10,2,,,,,,,
NATHAN SANTARINI,LEIG,120,10,3,,,,,,,
TYLER RENTERIA,PNR,120,10,4,,,,,,,
AJ TRAPANI,LG,121,10,5,,,,,,,
MILDRED AYALA,SOD,121,10,6,,,,,,,
ORION BAUTISTA,PG,121,10,7,,,,,,,
RUDY VARGAS,ASAL,121,10,8,,,,,,,
AUSTIN PHILLIPS,NMC,122,11,1,,,,,,,
CHARIS MEHDIZADEH,BRAN,122,11,2,,,,,,,
CHRISTOPHER VILLA,LA,122,11,3,,,,,,,
GREG ELLIS,MV,122,11,4,,,,,,,
MIKEY JOHNSON,SOQ,122,11,5,,,,,,,
MIYA MILLER,GUNN,122,11,6,,,,,,,
DECLAN OGLESBY,MVC,122.6,11,7,,,,,,,
ISAIAH PERALES,NMC,123,11,8,,,,,,,
VICTOR SALAS,MONT,123,12,1,,,,,,,
ZACH PELLEMIER,SV,123,12,2,,,,,,,
JONATHAN ORDIANO,ASAL,123.2,12,3,,,,,,,
CHARLES FUTCH,SLV,123.9,12,4,,,,,,,
JASON WORKMAN,APTO,123.9,12,5,,,,,,,
REBECCA VIDAL,OG,123.9,12,6,,,,,,,
RYAN COOKE,GUNN,124,12,7,,,,,,,
STEPHEN WILLIS,CAR,124.1,12,8,,,,,,,
CHRISTIAN OLSON,APTO,125,13,1,,,,,,,
DAVID ABRAMOVITCH,GUNN,125,13,2,,,,,,,
LUIS-DANIEL CONTRIDAS,NMC,125,13,3,,,,,,,
MEGAN ANDERSON,HAR,125,13,4,,,,,,,
VIRAJ GHOSH,GUNN,125,13,5,,,,,,,
CRISTIAN DUNN,WEST,125.3,13,6,,,,,,,
ALEJANDRO CHAVEZ JR.,HILL,125.4,13,7,,,,,,,
COLLIN ROBINS,APTO,125.5,13,8,,,,,,,
COREY CAMACHO-LIGHT,BELL,126,14,1,,,,,,,
DIEGO RAMIREZ,ASAL,126,14,2,,,,,,,
ETHAN BIRAL,PNR,126,14,3,,,,,,,
RIKO CORZO,LA,126,14,4,,,,,,,
JACOB  WREN,PG,127,14,5,,,,,,,
KALIB BOULTER,APTO,127,14,6,,,,,,,
HAO PENG,HILL,127.4,14,7,,,,,,,
DYLAN TEMPLE,CAR,127.5,14,8,,,,,,,
ISAAC FISHER,PNR,128,15,1,,,,,,,
KRISTIAN CEFALU,MONT,128,15,2,,,,,,,
LELAND LEDGER,LEIG,128,15,3,,,,,,,
